date,January,February,March,April,May,June,July,August,September,October,November,December
1950,0.55,0.56,1.84,1.24,2.96,1.38,2.43,2.31,2.68,0.91,0.36,0.20
1951,0.20,0.66,1.07,1.16,2.81,4.52,2.38,3.58,1.69,2.05,0.21,1.33
1952,0.71,1.00,0.87,0.37,2.46,3.42,1.57,2.02,0.33,0.03,0.70,0.23
1953,0.62,1.14,1.26,3.48,2.65,4.91,2.31,2.71,0.47,0.84,0.67,0.62
1954,0.20,0.49,1.53,1.16,2.21,4.20,1.41,2.18,1.55,1.44,0.38,0.16
1955,0.23,0.90,0.33,1.31,2.37,3.09,2.34,1.94,1.82,0.26,0.38,0.84
1956,0.54,0.24,0.81,1.23,2.25,2.06,3.36,3.28,0.69,0.88,1.39,0.25
1957,0.23,0.33,0.67,2.41,5.03,4.07,2.37,2.81,1.62,1.73,0.99,0.13
1958,0.24,0.91,0.55,2.54,1.48,3.16,3.27,0.97,0.47,0.26,0.77,0.26
1959,0.27,0.62,0.39,0.88,3.78,2.43,1.61,1.50,2.71,1.22,0.84,0.46
1960,0.51,0.62,0.75,1.96,3.08,3.45,1.12,3.58,1.31,0.36,0.70,0.75
1961,0.12,0.33,0.61,1.06,3.53,2.42,2.33,1.47,2.23,1.24,0.25,0.39
1962,0.34,1.27,1.12,1.15,6.78,4.84,4.49,1.77,1.40,0.99,0.25,0.18
1963,0.54,0.40,0.98,2.19,2.13,4.03,4.26,1.51,2.11,1.09,0.27,0.34
1964,0.23,0.24,0.86,3.22,2.44,4.56,2.30,2.15,0.95,0.11,0.28,0.60
1965,0.37,0.31,0.77,2.36,5.34,3.84,2.21,1.62,3.23,0.61,0.33,0.55
1966,0.25,0.64,1.28,1.86,0.99,2.43,3.16,3.70,1.89,1.32,0.48,0.34
1967,0.47,0.55,0.35,2.50,1.85,6.16,1.09,1.19,1.74,0.76,0.15,0.60
1968,0.29,0.17,0.59,3.49,1.89,5.35,2.20,2.33,1.87,1.20,0.56,1.10
1969,0.73,1.20,0.47,1.15,2.23,3.19,4.03,1.22,0.87,1.53,0.23,0.68
1970,0.35,0.22,1.14,3.62,2.68,2.67,1.75,1.19,1.61,1.34,1.55,0.52
1971,0.51,0.82,0.46,3.03,2.96,3.48,1.46,1.51,1.93,3.03,1.23,0.53
1972,0.37,0.35,0.73,2.12,5.60,2.79,3.65,1.38,0.48,1.52,0.80,0.86
1973,0.41,0.30,2.31,1.81,2.82,1.61,1.89,1.38,3.18,1.68,0.79,0.48
1974,0.10,0.33,0.79,2.08,3.04,1.57,1.84,1.73,0.44,0.76,0.24,0.13
1975,0.98,0.29,2.08,2.59,2.13,4.20,1.16,2.15,0.90,0.76,0.63,0.47
1976,0.58,0.59,0.68,1.92,1.59,2.92,1.57,1.03,1.04,0.42,0.14,0.29
1977,0.39,0.85,3.55,1.59,2.78,2.84,2.58,2.80,3.27,1.97,1.61,0.81
1978,0.26,0.77,0.33,3.05,3.62,2.61,3.56,2.55,0.92,0.25,0.68,0.34
1979,0.77,0.47,1.28,1.66,1.87,3.43,3.78,2.52,0.60,1.57,0.40,0.09
1980,0.28,0.42,0.70,0.83,1.36,3.03,1.53,3.22,0.60,2.15,0.18,0.41
1981,0.12,0.25,1.11,0.56,2.31,2.79,4.02,2.46,0.93,1.64,0.65,0.57
1982,0.72,0.21,1.67,1.04,6.32,2.48,3.08,2.10,1.87,4.19,0.82,0.50
1983,0.23,0.12,2.00,1.23,2.72,3.58,2.71,2.02,1.23,1.36,1.60,0.59
1984,0.20,0.48,1.18,3.58,2.10,5.81,2.06,1.93,1.02,1.99,0.42,0.57
1985,0.39,0.08,1.57,1.49,2.10,2.13,2.02,2.81,2.62,1.04,1.66,0.59
1986,0.42,0.63,1.19,5.14,3.34,3.66,2.93,1.89,4.19,1.04,0.77,0.02
1987,0.13,1.38,2.83,0.36,3.14,1.47,2.98,2.36,1.26,0.38,0.56,0.53
1988,0.50,0.37,0.73,1.18,3.32,2.38,1.25,2.03,2.11,0.27,0.70,0.50
1989,0.22,0.43,1.53,2.30,1.24,1.77,2.43,1.87,2.41,0.90,0.73,0.44
1990,0.15,0.34,1.13,1.60,3.25,3.79,2.57,1.96,0.91,0.92,0.26,0.43
1991,0.18,0.85,0.71,3.09,5.33,4.20,1.67,1.68,1.32,1.29,0.85,0.07
1992,0.59,0.68,1.19,1.02,1.39,4.09,4.68,2.44,1.43,0.69,1.19,0.44
1993,0.51,0.75,0.98,2.29,3.19,5.67,6.00,1.89,1.66,0.62,1.24,0.63
1994,0.70,0.61,0.35,2.10,1.26,3.07,3.63,1.89,1.30,2.89,0.67,0.43
1995,0.36,0.42,1.89,3.39,5.42,3.29,2.85,2.02,1.82,3.26,0.53,0.22
1996,0.87,0.31,0.79,0.93,5.37,2.04,1.78,1.73,4.29,2.42,1.23,1.15
1997,1.18,0.79,0.44,2.74,2.92,3.16,4.16,2.02,1.45,1.82,0.29,0.15
1998,0.46,0.77,1.70,1.52,2.55,4.64,2.80,2.94,0.71,5.35,1.26,0.17
1999,0.53,0.28,0.69,3.05,3.61,4.72,2.64,2.66,2.60,0.44,0.21,0.18
2000,0.38,0.72,1.27,2.63,3.24,2.70,2.52,1.46,0.61,1.31,1.86,0.42
2001,0.82,0.87,0.46,3.84,2.48,3.20,3.80,0.70,1.80,0.96,1.19,0.06
2002,0.28,0.18,0.95,1.29,1.64,1.55,1.79,3.27,1.59,1.46,0.06,0.24
2003,0.45,0.63,0.94,2.28,2.79,3.61,1.63,1.12,1.81,0.84,0.74,0.29
2004,0.33,0.46,1.61,0.88,3.70,2.64,2.86,1.78,3.88,2.20,0.36,0.09
2005,0.37,0.39,0.69,2.07,3.70,5.04,1.66,1.93,2.14,0.90,1.07,0.74
2006,0.30,0.29,1.35,2.36,1.20,1.77,0.75,3.05,3.40,0.38,0.35,0.73
2007,0.19,0.90,2.13,2.21,4.53,3.22,0.93,4.00,1.49,2.68,0.05,0.61
2008,0.23,0.38,0.90,1.72,4.06,5.04,2.96,1.56,2.11,2.86,1.15,0.71
2009,0.40,1.00,1.75,1.86,1.27,3.49,3.45,2.87,1.30,3.94,0.11,1.15
2010,0.61,0.60,1.19,2.38,3.69,4.92,3.73,2.02,3.26,1.00,0.33,0.95
